
| event_message                                                                                                                                                                                                       | id                                   | identifier           | method | path                         | search                                                                                                                          | status_code | timestamp        |
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------ | -------------------- | ------ | ---------------------------- | ------------------------------------------------------------------------------------------------------------------------------- | ----------- | ---------------- |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/PlatformConnections?select=Id%2CUserId%2COrgId%2CPlatformType%2CDisplayName%2CStatus&IsEnabled=eq.true | Anorha/2 CFNetwork/3826.500.131 Darwin/25.3.0 | c433f42a-6e3d-4b86-a0e4-11116d5708e6 | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/PlatformConnections | ?select=Id%2CUserId%2COrgId%2CPlatformType%2CDisplayName%2CStatus&IsEnabled=eq.true                                             | 200         | 1780603828407000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/OrgMemberships?select=Role%2COrganizations%28Id%2CName%2CClerkOrgId%2CCreatedAt%2CUpdatedAt%29&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node   | 93dc3379-63f5-4434-9e50-2a67fdc57dba | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/OrgMemberships      | ?select=Role%2COrganizations%28Id%2CName%2CClerkOrgId%2CCreatedAt%2CUpdatedAt%29&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | 200         | 1780603828338000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/OrgMemberships?select=Role%2Cassigned_pool_ids&OrgId=eq.b442db12-ba2c-4c89-ab60-7876fb3ad816&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node     | cd0aa74a-5411-4ccb-80ed-b1f7a5c926ed | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/OrgMemberships      | ?select=Role%2Cassigned_pool_ids&OrgId=eq.b442db12-ba2c-4c89-ab60-7876fb3ad816&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df   | 200         | 1780603828320000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/Users?select=active_org_id&Id=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node                                                                           | 12b24656-a3ac-4258-830d-18f96f7d9dd0 | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/Users               | ?select=active_org_id&Id=eq.003204d6-4da7-4666-9470-2c55b8d4d1df                                                                | 200         | 1780603828299000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/Users?select=Id&Id=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node                                                                                      | 3a5da065-a24f-43c7-8721-c8605c4c2fe7 | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/Users               | ?select=Id&Id=eq.003204d6-4da7-4666-9470-2c55b8d4d1df                                                                           | 200         | 1780603828278000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/PlatformConnections?select=Id%2CUserId%2COrgId%2CPlatformType%2CDisplayName%2CStatus&IsEnabled=eq.true | Anorha/2 CFNetwork/3826.500.131 Darwin/25.3.0 | 359066b0-b99d-482e-94a0-1535f022de32 | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/PlatformConnections | ?select=Id%2CUserId%2COrgId%2CPlatformType%2CDisplayName%2CStatus&IsEnabled=eq.true                                             | 200         | 1780603828095000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/OrgMemberships?select=Role%2COrganizations%28Id%2CName%2CClerkOrgId%2CCreatedAt%2CUpdatedAt%29&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node   | c9149c3f-dbe3-4bbf-a969-4230932ef39f | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/OrgMemberships      | ?select=Role%2COrganizations%28Id%2CName%2CClerkOrgId%2CCreatedAt%2CUpdatedAt%29&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | 200         | 1780603828038000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/OrgMemberships?select=Role%2Cassigned_pool_ids&OrgId=eq.b442db12-ba2c-4c89-ab60-7876fb3ad816&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node     | e33248a6-747f-4468-9233-6ea2d330a290 | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/OrgMemberships      | ?select=Role%2Cassigned_pool_ids&OrgId=eq.b442db12-ba2c-4c89-ab60-7876fb3ad816&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df   | 200         | 1780603828021000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/Users?select=active_org_id&Id=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node                                                                           | fe857f4f-daba-4625-84ff-6f5ba6f372a8 | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/Users               | ?select=active_org_id&Id=eq.003204d6-4da7-4666-9470-2c55b8d4d1df                                                                | 200         | 1780603828001000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/Users?select=Id&Id=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node                                                                                      | c35921e8-1b29-43d7-bba4-28a7b7a78ad7 | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/Users               | ?select=Id&Id=eq.003204d6-4da7-4666-9470-2c55b8d4d1df                                                                           | 200         | 1780603827982000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/PlatformConnections?select=Id%2CUserId%2COrgId%2CPlatformType%2CDisplayName%2CStatus&IsEnabled=eq.true | Anorha/2 CFNetwork/3826.500.131 Darwin/25.3.0 | 58b52552-8b5d-46ff-bacb-bcd77c179a6a | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/PlatformConnections | ?select=Id%2CUserId%2COrgId%2CPlatformType%2CDisplayName%2CStatus&IsEnabled=eq.true                                             | 200         | 1780603827890000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/OrgMemberships?select=Role%2COrganizations%28Id%2CName%2CClerkOrgId%2CCreatedAt%2CUpdatedAt%29&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node   | 674047eb-9d41-48e7-afdd-d2ffa9bcfa2b | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/OrgMemberships      | ?select=Role%2COrganizations%28Id%2CName%2CClerkOrgId%2CCreatedAt%2CUpdatedAt%29&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | 200         | 1780603827796000 |
| GET | 200 | https://pqmxhoxffarcvaxeakwo.supabase.co/rest/v1/OrgMemberships?select=Role%2Cassigned_pool_ids&OrgId=eq.b442db12-ba2c-4c89-ab60-7876fb3ad816&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df | node     | d7527fa4-6e3b-4740-814e-ed1fa8eafc8c | pqmxhoxffarcvaxeakwo | GET    | /rest/v1/OrgMemberships      | ?select=Role%2Cassigned_pool_ids&OrgId=eq.b442db12-ba2c-4c89-ab60-7876fb3ad816&UserId=eq.003204d6-4da7-4666-9470-2c55b8d4d1df   | 200         | 1780603827769000 |
